studentID,name,state,contact_number,age,gender,study_hours,percentage,marathi_marks,hindi_marks,english_marks,science_marks,mathematics_marks,social_studies_marks
493543453667,Anaya Madan,Punjab,6205480173,17,Male,1.61,67.03,44,51,67,89,84,61
168579174116,Himmat Devan,Gujarat,6985210590,16,Female,3.36,98.88,36,49,68,75,81,48
59513880419,Dharmajan Barad,Maharashtra,7925266106,15,Female,3.89,88.02,30,39,52,53,75,36
719701392557,Faiyaz Jain,Gujarat,7120725703,16,Female,2.94,78.94,34,54,66,70,74,44
476029410278,Inaaya  Chaudhuri,Sikkim,4500849550,16,Male,1.6,63.38,48,54,50,66,86,52
144403158784,Dharmajan Bhalla,Bihar,2967526707,16,Male,3.39,89.85,44,56,63,63,73,41
632054152741,Onkar Thakur,Haryana,2425879461,15,Male,2.5,62.09,31,35,44,67,76,35
961963078478,Sumer Suri,Kerala,5406328545,15,Female,1.54,71.53,21,33,47,51,62,34
23681882949,Shlok Walia,Kerala,73750959,16,Female,2.5,77.0,31,57,69,68,79,42
915745994575,Dhanush Rana,Maharashtra,4966570125,15,Male,1.7,70.58,33,43,59,54,73,32
889912872107,Siya Kohli,Punjab,267016982,16,Female,1.61,75.33,47,52,65,64,83,44
231524147323,Hrishita Varma,Goa,9866597558,16,Female,2.96,69.22,45,43,57,77,76,43
57211877292,Ryan Keer,Gujarat,1767630922,16,Female,3.23,85.29,39,44,66,72,88,54
928205986010,Indrans Mallick,Maharashtra,2419866701,16,Female,3.54,95.81,50,42,66,65,90,43
24598600274,Chirag Dass,Rajasthan,7280221341,15,Male,3.17,91.52,20,33,57,63,80,48
835863913646,Indrans Grewal,Haryana,3124788430,16,Female,4.42,82.53,36,47,69,69,74,43
587356508868,Hazel Agate,Bihar,5958978845,17,Female,1.45,55.11,47,55,75,88,91,57
14772302177,Riya Shanker,Haryana,9449973651,15,Male,3.89,86.82,20,37,60,62,74,41
368224814016,Stuvan Sachdeva,Maharashtra,2854139390,15,Female,3.75,92.24,25,42,48,58,79,50
661677505413,Ojas Toor,Other,1507191536,16,Female,1.9,71.39,43,44,63,61,85,42
323946991992,Advika Gara,Gujarat,1566004474,17,Female,2.48,69.9,48,56,68,74,81,52
932938210419,Gatik Bains,Maharashtra,3516032908,15,Female,3.99,91.95,33,37,46,56,77,36
542258885917,Tejas Arora,Goa,2493198465,17,Male,3.76,95.61,50,57,67,70,99,59
811573272003,Vanya Kakar,Haryana,1197103051,15,Male,1.09,51.49,38,35,57,57,61,49
629199920241,Kismat Thaman,Sikkim,2473715945,16,Female,2.14,69.47,41,51,58,65,86,48
508274276388,Hridaan Balasubramanian,Karnataka,118147067,17,Female,2.79,71.97,59,52,67,74,92,61
352337088452,Khushi Raju,Kerala,3584249680,15,Female,2.42,74.04,25,31,50,62,77,46
34134728909,Veer Samra,Karnataka,8680924935,16,Male,1.13,51.31,32,43,65,79,74,46
127699595435,Misha Kumer,Punjab,2344745501,16,Female,2.09,72.42,36,42,62,66,88,48
292234595141,Neysa Bajaj,Maharashtra,2732565557,15,Male,2.9,67.54,32,45,47,66,69,30
770854752931,Prerak Sangha,Rajasthan,3067018768,16,Male,2.25,61.37,49,46,54,77,83,44
958669573060,Shlok Kar,Gujarat,3355783599,15,Female,1.15,57.85,35,46,44,55,72,47
782184933744,Aaryahi Joshi,Kerala,3745734828,17,Male,1.98,65.56,56,64,76,77,81,69
132349616193,Siya Shanker,Maharashtra,520591418,16,Male,0,24.49,37,45,66,67,79,41
863238222938,Divyansh Agrawal,Bihar,9045399520,15,Male,3.52,84.72,37,33,42,64,64,43
266052522493,Shamik Kapadia,Goa,6950381068,15,Male,2.12,60.9,26,36,48,59,73,50
517793675142,Ritvik Solanki,Karnataka,2462907432,15,Female,1.79,63.59,21,37,46,52,76,34
387370669601,Aradhya Bali,Other,6801935169,15,Male,1.9,77.85,26,46,51,55,73,34
786311604148,Amani Karnik,Rajasthan,2465628203,15,Male,2.26,71.69,32,47,49,58,61,42
135985937876,Jivin Shan,Maharashtra,7773343842,15,Female,1.4,53.6,34,48,43,68,78,33
