Name,Age,Gender,Computer Network,Web Computing,Machine Learning,Data Warehouse and Mining,Statistics,Total,Percentage,Result
Advik Sharma,20,Female,52,89,83,89,45,358,71.6,Successful
Advik Sharma,19,Female,90,70,87,78,45,370,74,Successful
Aayan Sharma,21,Male,51,70,57,64,61,303,60.6,Successful
Aaryan Patel,20,Female,98,61,82,89,87,417,83.4,Successful
Nidhi Patel,21,Male,50,71,97,38,45,301,60.2,Successful
Dhruv Sharma,20,Male,64,70,96,59,35,324,64.8,Successful
Aarush Sharma,22,Female,93,82,35,51,63,324,64.8,Successful
Saanvi Shah,24,Male,52,59,97,58,45,311,62.2,Successful
Khushi Shah,20,Female,52,70,41,89,40,292,58.4,Successful
Vivaan Patel,23,Male,65,76,33,41,45,260,52,Successful
Kian Shah,23,Female,42,70,97,34,76,319,63.8,Successful
Mohammad Sharma,22,Female,52,70,98,89,89,398,79.6,Successful
Aayan Sharma,19,Female,52,70,46,96,67,331,66.2,Successful
Shreya Sharma,21,Female,70,45,68,83,56,322,64.4,Successful
Ananya Patel,19,Female,61,70,97,55,34,317,63.4,Successful
Vihaan Shah,20,Female,78,46,44,90,45,303,60.6,Successful
Darsh Sharma,19,Female,52,87,58,89,45,331,66.2,Successful
Arjun Sharma,22,Male,52,70,97,81,90,390,78,Successful
Pranav Patel,23,Male,77,40,97,73,45,332,66.4,Successful
Aadi Sharma,21,Male,58,67,97,89,45,356,71.2,Successful
Mohammad Patel,22,Female,98,83,97,68,94,440,88,Successful
Vivaan Patel,19,Male,61,52,86,45,98,342,68.4,Successful
Kabir Shah,24,Male,99,56,40,51,71,317,63.4,Successful
Vivaan Shah,24,Female,80,37,48,93,33,291,58.2,Successful
Reyansh Sharma,19,Male,52,70,44,58,100,324,64.8,Successful
Myra Patel,20,Female,82,44,97,53,50,326,65.2,Successful
Arnav Patel,19,Female,64,51,97,44,34,290,58,Successful
Kian Sharma,23,Female,52,42,89,89,80,352,70.4,Successful
